ticker,date,expected_candles,observed_candles,candle_coverage,valid_intraday_returns,stale_price_share,positive_volume_share,all_prices_positive,configured_market_close,effective_market_close
B3SA3.SA,2026-06-12,83,82,0.9879518072289156,81,0.1111111111111111,1.0,True,17:55,16:50
BBDC4.SA,2026-03-17,83,83,1.0,82,0.15853658536585366,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-03-18,83,82,0.9879518072289156,81,0.14814814814814814,0.9878048780487805,True,17:55,16:50
BBDC4.SA,2026-03-19,83,81,0.9759036144578314,80,0.125,0.9876543209876543,True,17:55,16:50
BBDC4.SA,2026-03-20,83,81,0.9759036144578314,81,0.13580246913580246,0.9876543209876543,True,17:55,16:50
BBDC4.SA,2026-03-23,83,82,0.9879518072289156,81,0.12345679012345678,1.0,True,17:55,16:50
BBDC4.SA,2026-03-24,83,83,1.0,82,0.14634146341463414,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-03-25,83,82,0.9879518072289156,81,0.1111111111111111,1.0,True,17:55,16:50
BBDC4.SA,2026-03-26,83,83,1.0,82,0.24390243902439024,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-03-27,83,83,1.0,82,0.1951219512195122,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-03-30,83,83,1.0,82,0.15853658536585366,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-03-31,83,82,0.9879518072289156,81,0.13580246913580246,0.9878048780487805,True,17:55,16:50
BBDC4.SA,2026-04-01,83,83,1.0,82,0.15853658536585366,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-02,83,81,0.9759036144578314,80,0.1625,1.0,True,17:55,16:50
BBDC4.SA,2026-04-06,83,83,1.0,82,0.23170731707317074,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-07,83,82,0.9879518072289156,81,0.2222222222222222,1.0,True,17:55,16:50
BBDC4.SA,2026-04-08,83,82,0.9879518072289156,81,0.19753086419753085,1.0,True,17:55,16:50
BBDC4.SA,2026-04-09,83,83,1.0,82,0.14634146341463414,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-10,83,83,1.0,82,0.15853658536585366,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-13,83,82,0.9879518072289156,81,0.2345679012345679,1.0,True,17:55,16:50
BBDC4.SA,2026-04-14,83,83,1.0,82,0.3048780487804878,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-15,83,83,1.0,82,0.2682926829268293,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-16,83,83,1.0,82,0.2073170731707317,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-17,83,81,0.9759036144578314,80,0.1625,1.0,True,17:55,16:50
BBDC4.SA,2026-04-20,83,82,0.9879518072289156,81,0.20987654320987653,1.0,True,17:55,16:50
BBDC4.SA,2026-04-22,83,83,1.0,82,0.1951219512195122,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-23,83,82,0.9879518072289156,81,0.1728395061728395,1.0,True,17:55,16:50
BBDC4.SA,2026-04-24,83,82,0.9879518072289156,81,0.20987654320987653,1.0,True,17:55,16:50
BBDC4.SA,2026-04-27,83,83,1.0,82,0.3048780487804878,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-28,83,82,0.9879518072289156,81,0.18518518518518517,1.0,True,17:55,16:50
BBDC4.SA,2026-04-29,83,83,1.0,82,0.1951219512195122,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-04-30,83,81,0.9759036144578314,81,0.30864197530864196,1.0,True,17:55,16:50
BBDC4.SA,2026-05-04,83,83,1.0,82,0.1951219512195122,0.9879518072289156,True,17:55,16:50
BBDC4.SA,2026-05-05,83,82,0.9879518072289156,81,0.19753086419753085,1.0,True,17:55,16:50
BBDC4.SA,2026-05-06,83,82,0.9879518072289156,81,0.12345679012345678,0.9878048780487805,True,17:55,16:50
BBDC4.SA,2026-05-07,83,82,0.9879518072289156,81,0.14814814814814814,1.0,True,17:55,16:50
BBDC4.SA,2026-05-08,83,83,1.0,82,0.08536585365853659,0.9759036144578314,True,17:55,16:50
BBDC4.SA,2026-05-11,83,83,1.0,82,0.12195121951219512,0.9879518072289156,True,17:55,16:50
